"id","stockid","pz","instrumentid","percentage","target","tradetype","maxposition","nighttime","exname","tick","chengshu","addtick"
135,39,al,al2109,100,0,closet_closey_open,9999999,10000,SHFE,5,5,1
136,8,zn,zn2109,100,0,closet_closey_open,9999999,10000,SHFE,5,5,1
137,58,pb,pb2109,100,0,closet_closey_open,9999999,10000,SHFE,5,5,1
138,55,ni,ni2109,100,0,closet_closey_open,9999999,10000,SHFE,10,1,1
139,70,sn,sn2109,100,0,closet_closey_open,9999999,10000,SHFE,10,1,1
140,7,y,y2109,100,0,closet_closey_open,9999999,230000,DCE,2,10,1
141,65,b,b2109,0,0,closet_closey_open,9999999,230000,DCE,1,10,1
142,72,pg,pg2109,50,0,closet_closey_open,9999999,230000,DCE,1,20,1
143,22,TA,TA109,100,0,closet_closey_open,9999999,230000,CZCE,2,5,1
144,33,CF,CF109,0,0,closet_closey_open,9999999,230000,CZCE,5,5,1
145,59,RM,RM109,100,0,closet_closey_open,9999999,230000,CZCE,1,10,1
185,57,jd,jd2201,100,100,closet_closey_open,300,150000,DCE,1,5,1
186,67,CJ,CJ201,0,100,closet_closey_open,9999999,150000,CZCE,5,5,1
187,63,fu,fu2201,0,100,closet_closey_open,9999999,230000,SHFE,1,50,1
188,62,sc,sc2110,0,100,closet_closey_open,9999999,23000,INE,0.1,1000,1
189,77,lu,lu2111,0,100,closet_closey_open,9999999,230000,INE,1,10,1
190,30,a,a2111,0,100,closet_closey_open,9999999,230000,DCE,1,10,1
191,24,j,j2201,50,100,closet_closey_open,9999999,230000,DCE,0.5,100,1
194,76,CY,CY201,100,100,closet_closey_open,9999999,230000,CZCE,5,5,1
73,35,OI,OI109,100,0,closet_closey_open,9999999,230000,CZCE,2,10,1
74,9,ag,ag2108,50,0,closet_closey_open,9999999,23000,SHFE,1,15,1
75,25,jm,jm2109,20,0,closet_closey_open,9999999,230000,DCE,0.5,60,1
76,20,l,l2109,100,0,closet_closey_open,9999999,230000,DCE,5,5,1
77,57,jd,jd2109,0,0,closet_closey_open,300,150000,DCE,1,5,1
78,63,fu,fu2109,100,0,closet_closey_open,9999999,230000,SHFE,1,50,1
79,31,pp,pp2109,100,0,closet_closey_open,9999999,230000,DCE,1,5,1
80,56,hc,hc2201,0,100,closet_closey_open,9999999,230000,SHFE,1,10,1
81,50,v,v2109,0,0,closet_closey_open,9999999,230000,DCE,5,5,1
83,73,SA,SA201,0,100,closet_closey_open,9999999,230000,CZCE,1,20,1
84,69,UR,UR109,100,0,closet_closey_open,9999999,150000,CZCE,1,20,1
85,52,ZC,ZC109,100,0,closet_closey_open,9999999,230000,CZCE,0.2,100,1
87,30,a,a2109,100,0,closet_closey_open,9999999,230000,DCE,1,10,1
88,62,sc,sc2109,100,0,closet_closey_open,9999999,23000,INE,0.1,1000,1
90,5,cu,cu2110,0,100,closet_closey_open,9999999,10000,SHFE,10,5,1
91,64,sp,sp2109,50,0,closet_closey_open,9999999,230000,SHFE,2,10,1
92,67,CJ,CJ109,100,0,closet_closey_open,9999999,150000,CZCE,5,5,1
93,74,SF,SF109,100,0,closet_closey_open,9999999,150000,CZCE,2,5,1
94,11,IC,IC2109,0,100,closey_open,9999999,150000,CFFEX,0.2,200,1
95,4,IF,IF2109,0,100,closey_open,9999999,150000,CFFEX,0.2,300,1
96,12,IH,IH2109,0,100,closey_open,9999999,150000,CFFEX,0.2,300,1
97,79,PF,PF109,0,0,closet_closey_open,9999999,230000,CZCE,2,5,1
98,80,lh,lh2109,0,0,closet_closey_open,9999999,150000,DCE,5,16,1
99,81,PK,PK110,100,0,closet_closey_open,9999999,150000,CZCE,2,5,1
103,23,m,m2201,0,100,closet_closey_open,9999999,230000,DCE,1,10,1
104,34,FG,FG201,0,100,closet_closey_open,9999999,230000,CZCE,1,20,1
105,60,SM,SM109,50,0,closet_closey_open,9999999,150000,CZCE,2,5,1
106,3,SR,SR109,100,0,closet_closey_open,9999999,230000,CZCE,1,10,1
107,53,bu,bu2109,50,0,closet_closey_open,9999999,230000,SHFE,2,10,1
108,27,i,i2201,0,100,closet_closey_open,9999999,230000,DCE,0.5,100,1
109,21,rb,rb2110,100,0,closet_closey_open,9999999,230000,SHFE,1,10,1
110,1,ru,ru2201,0,100,closet_closey_open,9999999,230000,SHFE,5,10,1
114,76,CY,CY109,0,0,closet_closey_open,9999999,230000,CZCE,5,5,1
117,66,eg,eg2109,50,0,closet_closey_open,9999999,230000,DCE,1,10,1
118,24,j,j2109,50,0,closet_closey_open,9999999,230000,DCE,0.5,100,1
119,10,p,p2109,0,0,closet_closey_open,9999999,230000,DCE,2,10,1
121,13,T,T2109,100,0,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
122,38,TF,TF2109,100,0,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
123,6,au,au2106,0,0,closet_closey_open,9999999,23000,SHFE,0.02,1000,1
200,54,cs,cs2201,100,100,closet_closey_open,9999999,230000,DCE,1,10,1
163,65,b,b2110,100,100,closet_closey_open,9999999,230000,DCE,1,10,1
176,11,IC,IC2108,100,0,closey_open,9999999,150000,CFFEX,0.2,200,1
177,4,IF,IF2108,100,0,closey_open,9999999,150000,CFFEX,0.2,300,1
178,12,IH,IH2108,100,0,closey_open,9999999,150000,CFFEX,0.2,300,1
192,25,jm,jm2201,80,100,closet_closey_open,9999999,230000,DCE,0.5,60,1
193,72,pg,pg2110,50,100,closet_closey_open,9999999,230000,DCE,1,20,1
195,79,PF,PF201,100,100,closet_closey_open,9999999,230000,CZCE,2,5,1
196,74,SF,SF201,0,100,closet_closey_open,9999999,150000,CZCE,2,5,1
197,60,SM,SM201,50,100,closet_closey_open,9999999,150000,CZCE,2,5,1
198,69,UR,UR201,0,100,closet_closey_open,9999999,150000,CZCE,1,20,1
199,52,ZC,ZC201,0,100,closet_closey_open,9999999,230000,CZCE,0.2,100,1
201,68,eb,eb2110,0,100,closet_closey_open,9999999,230000,DCE,1,5,1
124,71,nr,nr2109,100,0,closet_closey_open,9999999,230000,INE,5,10,1
125,51,c,c2109,50,0,closet_closey_open,9999999,230000,DCE,1,10,1
126,26,MA,MA109,50,0,closet_closey_open,9999999,230000,CZCE,1,10,1
202,9,ag,ag2112,50,100,closet_closey_open,9999999,23000,SHFE,1,15,1
128,54,cs,cs2109,0,0,closet_closey_open,9999999,230000,DCE,1,10,1
129,78,rr,rr2112,100,100,closet_closey_open,9999999,230000,DCE,1,10,1
130,75,ss,ss2109,100,0,closet_closey_open,9999999,10000,SHFE,5,5,1
203,13,T,T2112,0,100,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
204,38,TF,TF2112,0,100,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
133,68,eb,eb2109,100,0,closet_closey_open,9999999,230000,DCE,1,5,1
205,53,bu,bu2112,50,100,closet_closey_open,9999999,230000,SHFE,2,10,1
206,6,au,au2112,100,100,closet_closey_open,9999999,23000,SHFE,0.02,1000,1
207,80,lh,lh2201,100,100,closet_closey_open,9999999,150000,DCE,5,16,1
208,81,PK,PK201,0,100,closet_closey_open,9999999,150000,CZCE,2,5,1
146,61,AP,AP110,0,100,closet_closey_open,9999999,150000,CZCE,1,10,1
147,78,rr,rr2110,0,0,closet_closey_open,9999999,230000,DCE,1,10,1
148,61,AP,AP201,100,0,closet_closey_open,9999999,150000,CZCE,1,10,1
